va,organism,molregno,tid,canonical_smiles,pref_name,chembl_id
[44300.0],Oryctolagus cuniculus,1560319,17056,COC(=O)[C@@H](Cc1ccccc1)N1C(=O)CC(=O)N(C2CCCC2)C1=O,,CHEMBL2380915
[100000.0],Oryctolagus cuniculus,1560446,17056,O=C1CC(=O)N(C[C@H]2CCCO2)C(=O)N1CCc1ccc(Cl)cc1,,CHEMBL2381041
[300.0],Cavia porcellus,365248,106600,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,NIMODIPINE,CHEMBL1428
[30000.0],Homo sapiens,2720800,169,CC(=O)N[C@H]1CSSC[C@@H]2NC(=O)[C@@H]3CSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(N)=O)NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N3)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC2=O,,CHEMBL5076349
[28500.0],Cavia porcellus,308534,106600,COc1ccc(CCNC(C)COc2c(C)cccc2C)cc1OC,,CHEMBL184014
[3100.0],Oryctolagus cuniculus,1560411,17056,CC1(C)CCC[C@H]1N1C(=O)CC(=O)N(CCc2cccc(C(F)(F)F)c2)C1=O,,CHEMBL2381006
[2.018],Cavia porcellus,1479018,106600,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1[nH]c(CC)nc1Cl,,CHEMBL2261190
[100000.0],Homo sapiens,2747335,169,N=C1N[C@H]2[C@H](CN3C(=O)CCC3=O)NC(=N)N3C[C@H](NC(=O)c4cccc5c4CCCC5)C(O)(O)[C@]23N1,,CHEMBL5176104
[30000.0],Homo sapiens,1822160,169,C[C@@H]1CN(c2nc(C(F)(F)F)no2)CCN1c1ncc(OCc2ccc(CS(C)(=O)=O)cc2F)cn1,,CHEMBL3358006
[35000.0],Mus musculus,155592,10513,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,BISPHENOL A,CHEMBL418971
[21900.0],Oryctolagus cuniculus,1560309,17056,O=C1CC(=O)N(C2CCCC2)C(=O)N1CCCc1ccccc1,,CHEMBL2380905
[1202.26],Cavia porcellus,1470009,106600,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1[nH]cnc1Cl,,CHEMBL2234509
[4400.0],Rattus norvegicus,225759,10514,CC(C)(C)c1cc(C2SCC(=O)N2CCCN)cc(C(C)(C)C)c1O,,CHEMBL137426
[2410.0],Homo sapiens,2295443,169,N#Cc1ccc(Cn2ccc(NC(=O)Cc3ccc(C4(C(F)(F)F)CC4)cc3)n2)nc1,APINOCALTAMIDE,CHEMBL4217292
[55000.0],Cavia porcellus,1852301,106600,Cc1cccc(C)c1N(CCCc1cccnc1)C(=O)[C@@H](C)N.O=C(O)C(O)C(O)C(=O)O,,CHEMBL3436048
[50000.0],Oryctolagus cuniculus,1560433,17056,O=C1CC(=O)N(C2CC3CCC2C3)C(=O)N1CCc1ccc(Cl)cc1,,CHEMBL2381028
[8.0],Oryctolagus cuniculus,627600,17056,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1SC,,CHEMBL1086836
[7290.0],Cavia porcellus,1480086,106600,COC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCCC2)C1c1csc(-c2ccc(Cl)cc2)n1,,CHEMBL2262248
[2217.0],Oryctolagus cuniculus,627695,17056,CCOC(=O)C1=C(C)NC(C)=C(C(C)=O)C1c1ccc2ccccc2c1,,CHEMBL1096201
[12840.0],Homo sapiens,2119243,169,Cc1cc(-c2cc(OC(F)(F)F)ccc2Cl)cc(C)c1OCCCC(=O)O,,CHEMBL3909872
[10.0],Oryctolagus cuniculus,626739,17056,CCOC(=O)C1=C(C)NC(COC(C)=O)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,,CHEMBL1094740
[25500.0],Oryctolagus cuniculus,1560299,17056,CCC(CC)N1C(=O)CC(=O)N(CCc2cccc(Cl)c2)C1=O,,CHEMBL2380896
[46000.0],Cavia porcellus,1480084,106600,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)C)C1c1csc(-c2ccc(Cl)cc2)n1,,CHEMBL2262246
[1940.0],Oryctolagus cuniculus,626910,17056,CCOC(=O)C1=C(C)NC(/C=C/c2ccc([N+](=O)[O-])cc2)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,,CHEMBL1095092
[54000.0],Oryctolagus cuniculus,1560448,17056,O=C1CC(=O)N([C@@H]2C[C@@H]3CC[C@H]2C3)C(=O)N1CCc1ccc(Cl)cc1,,CHEMBL2381043
[6800.0],Homo sapiens,563922,169,O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccc4ccccc4n3)no2)CC1,,CHEMBL551921
[6800.0],Rattus norvegicus,1562116,10514,C[C@@H]1CN(C(c2ccccc2)c2ccccc2)[C@H](CCCO[Si](C)(C)C(C)(C)C)CN1,,CHEMBL2385360
[2.642],Cavia porcellus,1479013,106600,CCc1nc(Cl)c(C2C(C(=O)OCC(C)C)=C(C)NC(C)=C2C(=O)OCC(C)C)[nH]1,,CHEMBL2261185
[748.0],Homo sapiens,1959803,169,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12,,CHEMBL3608944
[31000.0],Rattus norvegicus,27713,10514,CNCCCC12CCC(c3ccccc31)c1ccccc12,MAPROTILINE,CHEMBL21731
