va,organism,molregno,tid,canonical_smiles,pref_name,chembl_id
[50118.7],Homo sapiens,2351542,165,CN(C)c1ccc(-c2cc3nccnc3c(NCC(F)(F)F)n2)cn1,,CHEMBL4444533
[1600.0],Homo sapiens,408626,165,O=C(NC1CCN(Cc2ccc(OCC(F)(F)F)c(F)c2)CC1)c1cc(=O)c2ccc(F)cc2o1,,CHEMBL247689
[40000.0],Homo sapiens,632265,165,C[C@@H]1CCCN1CCc1ccc2nc(-c3c(O)ccnc3C(F)(F)F)ccc2c1,,CHEMBL1085783
[40000.0],Homo sapiens,2734473,165,CN(C)c1nc(=O)n(-c2ccccc2)c2cc(Cl)ccc12,,CHEMBL5090022
[29000.0],Homo sapiens,1267815,165,COc1ccc2nccc(NC(=O)[C@H]3CC[C@H](NCc4cc5c(cn4)OCCO5)CC3)c2n1,,CHEMBL1926864
[12650.0],Homo sapiens,1143446,165,Cc1ccc(-c2ccc(N3CC(CNC(=O)c4ccc(-c5nc6cc(C#N)cc(C(C)C)c6o5)cc4)OC3=O)nc2)s1,,CHEMBL1771138
[5980.0],Homo sapiens,1972093,165,Fc1ccc2c(C3CCN(CCCOc4ccc(Cc5nc6ccccc6o5)cc4)CC3)noc2c1,,CHEMBL3634821
[7100.0],Homo sapiens,1581399,165,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,,CHEMBL2426277
[9000.0],Homo sapiens,2204530,165,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1,,CHEMBL4064619
[13300.0],Homo sapiens,2425290,165,CCOc1cc([C@](O)(CCN(C)C)[C@@H](c2cc3cc(Br)ccc3nc2OC)c2cccc3c2OCCO3)cc(OCC)n1,,CHEMBL4554862
[30000.0],Homo sapiens,2739526,165,C[C@H](CC[C@](C)(O)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,DALZANEMDOR,CHEMBL5095095
[21.2],Homo sapiens,361218,165,O=C(NC1CCN(Cc2cccc(F)c2)CC1)c1cc(=O)c2ccc(F)cc2o1,,CHEMBL216225
[30000.0],Homo sapiens,2501443,165,COCCOc1cc(NC(=O)N2CCCc3cc(CN4C[C@@H](N(C)C)CC4=O)c(C=O)nc32)ncc1C#N,,CHEMBL4754106
